anchor_id,env_name,pos_x,pos_y,pos_z,q_w,q_x,q_y,q_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,has_collided
38,CityEnviron,-18.95734405517578,-14.45131778717041,-32.95949172973633,-0.04540841653943062,0.030758200213313103,-0.042221520096063614,0.9976018667221069,-1.8413689136505127,-0.2883412837982178,0.3540213108062744,0.7141751050949097,2.607724905014038,-0.0027678196784108877,False
39,CityEnviron,-19.556772232055664,-14.210996627807617,-33.578453063964844,-0.036887697875499725,-0.0393657423555851,0.0002505095035303384,0.9985437393188477,0.9131885766983032,0.5671201944351196,-0.9573988318443298,0.31986552476882935,-1.022185206413269,0.004077130928635597,False
40,CityEnviron,-18.990652084350586,-14.230960845947266,-34.44713592529297,-0.015437169000506401,0.0692136362195015,-0.09439855813980103,0.9930055737495422,-0.34766870737075806,0.43775343894958496,0.01101571787148714,2.287606716156006,1.5555216073989868,-0.00992280337959528,False
41,CityEnviron,-20.116851806640625,-14.288564682006836,-34.38010787963867,-0.025189481675624847,-0.029955556616187096,-0.04419010877609253,0.9982562065124512,-1.1065548658370972,0.0011729635298252106,0.16216441988945007,0.9431753158569336,0.6828516721725464,0.0019564570393413305,False
42,CityEnviron,-22.09349822998047,-13.780875205993652,-34.81772232055664,-0.05444303900003433,-0.0470980741083622,0.05684804916381836,0.9957841634750366,-2.2595255374908447,-0.2698151469230652,-1.1039788722991943,-0.7169299125671387,1.5854923725128174,0.014867077581584454,False
43,CityEnviron,-23.9970703125,-14.257539749145508,-34.905555725097656,-0.06044640392065048,-0.004189031198620796,0.03911719471216202,0.997395932674408,-1.3529294729232788,-0.6814948916435242,1.0751570463180542,-0.8114656805992126,0.7209659814834595,0.0007498655468225479,False
44,CityEnviron,-25.292476654052734,-15.853409767150879,-34.8795280456543,-0.0728328749537468,-0.06875703483819962,-0.020321834832429886,0.9947637319564819,-0.35635271668434143,-1.6929787397384644,0.1323632150888443,-0.7998208999633789,-0.41625306010246277,-0.0032575202640146017,False
45,CityEnviron,-24.59674835205078,-17.27338409423828,-36.29868698120117,-0.07631246000528336,0.05054346099495888,-0.11564945429563522,0.9890636801719666,0.4820678234100342,0.33862829208374023,-1.6342414617538452,1.6064260005950928,-0.0020621665753424168,-0.006387987639755011,False
46,CityEnviron,-24.202333450317383,-17.76376724243164,-37.497283935546875,-0.06881621479988098,0.03580307960510254,-0.0161094032227993,0.9968565702438354,-0.14289018511772156,-1.0457744598388672,-0.3929767310619354,-0.7931286096572876,0.69902503490448,0.0033733309246599674,False
47,CityEnviron,-24.006378173828125,-18.52110481262207,-37.91675567626953,-0.07210885733366013,-0.07027475535869598,-0.07496697455644608,0.9920896291732788,1.021816611289978,0.27419614791870117,-0.36342212557792664,1.3569427728652954,-2.417715311050415,0.009418636560440063,False
48,CityEnviron,-23.481048583984375,-18.807889938354492,-38.5161247253418,-0.0677296370267868,0.010111989453434944,-0.08580972999334335,0.9939553141593933,-0.17045630514621735,0.3366805911064148,-0.7534799575805664,1.1898350715637207,0.13791070878505707,0.0018294637557119131,False
49,CityEnviron,-23.98862075805664,-18.213703155517578,-38.53141403198242,-0.06444085389375687,0.053150735795497894,-0.012961436063051224,0.9964208006858826,-1.4164435863494873,0.7921387553215027,-0.4888354241847992,0.7006878852844238,1.5463013648986816,-0.01433442160487175,False
50,CityEnviron,-25.515932083129883,-17.602920532226562,-39.007999420166016,-0.06289007514715195,-0.008373661898076534,0.08649912476539612,0.9942296743392944,-1.2160723209381104,-0.47457098960876465,-0.29195138812065125,-1.541137933731079,1.2500929832458496,0.008293185383081436,False
51,CityEnviron,-25.84644889831543,-17.36762237548828,-39.54788589477539,-0.07337869703769684,0.008160577155649662,0.05682028457522392,0.9956507682800293,0.12961864471435547,0.01481746044009924,0.1656721532344818,-0.7304348945617676,0.044933319091796875,0.004487095400691032,False
52,CityEnviron,-25.373180389404297,-16.78392219543457,-40.196128845214844,-0.09431184083223343,0.07790075242519379,-0.02012721262872219,0.9922860860824585,-0.18002451956272125,1.1602123975753784,-0.5024697184562683,1.2360891103744507,1.0381306409835815,-0.008056995458900928,False
53,CityEnviron,-25.359434127807617,-16.784610748291016,-40.01699447631836,-0.09719528257846832,0.013017321936786175,-0.02742256037890911,0.9948023557662964,-0.025934375822544098,-0.39787158370018005,0.2932102680206299,0.0714184120297432,0.2128782421350479,-0.0018203933723270893,False
54,CityEnviron,-25.357421875,-17.328290939331055,-40.433807373046875,-0.08359845727682114,0.03527030721306801,-0.07953102141618729,0.9926944375038147,-0.6751712560653687,0.5452199578285217,-0.42777329683303833,1.8511910438537598,0.8860635161399841,-0.019411448389291763,False
55,CityEnviron,-26.612865447998047,-16.68444061279297,-40.06647491455078,-0.08308254927396774,-0.01734578050673008,0.022446023300290108,0.996138870716095,-1.3628336191177368,0.27824831008911133,0.12432941794395447,0.11019247025251389,0.8848190307617188,-0.0010765850311145186,False
56,CityEnviron,-28.458852767944336,-16.90715789794922,-39.89452362060547,-0.08616136014461517,-0.04881061613559723,0.02150660753250122,0.9948523640632629,-1.5172032117843628,-0.7610286474227905,-0.14112085103988647,-0.6562759280204773,0.7919433116912842,0.0030661183409392834,False
